"KNOT","A","B1","B2","B3","SEX","AGE","PERCENTILE","CHART"
192,62.3,0.105,-0.00532,7.49e-05,"F","2-18 years",75,"wt  x age"
26,92,0.823,-0.00498,2.39e-05,"M","2-18 years",90,"ht x age"
138,156,0.61,0.00308,-0.000108,"M","2-18 years",90,"ht x age"
168,174,0.504,-0.00663,2.38e-05,"M","2-18 years",90,"ht x age"
204,184,0.119,-0.00406,1.87e-05,"M","2-18 years",90,"ht x age"
26,92,0.68,-0.00157,5.79e-06,"F","2-18 years",90,"ht x age"
132,154,0.543,0.000283,-0.00011,"F","2-18 years",90,"ht x age"
156,165,0.367,-0.00762,5.26e-05,"F","2-18 years",90,"ht x age"
192,171,0.023,-0.00194,3.49e-05,"F","2-18 years",90,"ht x age"
18,13,0.249,-0.00183,2.08e-05,"M","2-18 years",90,"wt  x age"
96,31.1,0.342,0.00303,-1.56e-05,"M","2-18 years",90,"wt  x age"
156,59.1,0.537,0.000223,-1.66e-05,"M","2-18 years",90,"wt  x age"
204,83.6,0.444,-0.00217,-0.000102,"M","2-18 years",90,"wt  x age"
18,11.8,0.33,-0.00436,4.48e-05,"F","2-18 years",90,"wt  x age"
84,27.4,0.339,0.0045,-3.66e-05,"F","2-18 years",90,"wt  x age"
144,56,0.483,-0.0021,-2.41e-05,"F","2-18 years",90,"wt  x age"
192,71.7,0.115,-0.00557,7.41e-05,"F","2-18 years",90,"wt  x age"
26,94.4,0.765,-0.00388,1.9e-05,"M","2-18 years",95,"ht x age"
138,159,0.615,0.00254,-9.58e-05,"M","2-18 years",95,"ht x age"
168,177,0.509,-0.00608,3.32e-06,"M","2-18 years",95,"ht x age"
204,187,0.0844,-0.00572,7.48e-05,"M","2-18 years",95,"ht x age"
26,93.6,0.688,-0.00162,6.4e-06,"F","2-18 years",95,"ht x age"
132,156,0.56,0.000426,-0.000127,"F","2-18 years",95,"ht x age"
156,168,0.362,-0.0087,7.39e-05,"F","2-18 years",95,"ht x age"
192,173,0.0225,-0.000719,1.44e-05,"F","2-18 years",95,"ht x age"
18,14.4,0.178,0.000294,9.36e-06,"M","2-18 years",95,"wt  x age"
96,34.5,0.394,0.00248,-9.63e-06,"M","2-18 years",95,"wt  x age"
156,65,0.588,0.000751,-3.33e-05,"M","2-18 years",95,"wt  x age"
204,91.3,0.43,-0.00404,-7.86e-05,"M","2-18 years",95,"wt  x age"
18,12.4,0.318,-0.00336,3.81e-05,"F","2-18 years",95,"wt  x age"
84,29.7,0.373,0.00419,-2.93e-05,"F","2-18 years",95,"wt  x age"
144,60.8,0.559,-0.00109,-3.76e-05,"F","2-18 years",95,"wt  x age"
192,81,0.195,-0.0065,3.99e-05,"F","2-18 years",95,"wt  x age"
83,9.69,0.245,-0.00381,0.000107,"F","2-10 years",5,"wt x ht"
111,15.9,0.283,0.00517,-2.27e-05,"F","2-10 years",5,"wt x ht"
83,9.91,0.23,-0.00174,6.85e-05,"F","2-10 years",10,"wt x ht"
111,16.5,0.294,0.00402,3.17e-05,"F","2-10 years",10,"wt x ht"
83,10.5,0.225,-3.37e-05,3.35e-05,"F","2-10 years",25,"wt x ht"
111,17.5,0.302,0.00278,0.000114,"F","2-10 years",25,"wt x ht"
