cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd,tlag1.mean,tlag1.median,tlag1.sd
64,false,Continue,442.60974547928384,19,2.42017,0.6833431053161622,0.7325260353088379,0.049619037122606006,0.04973732107187573,0.045901044511795046,0.00026101473040128346,78.65964076393529,74.35213279724121,699.6374933102493,1.4394421226099916,1.069418716430664,1.34581835330382
65,false,Continue,442.35256389250685,19,2.42017,0.6838694211056358,0.7325260353088379,0.049789082507910955,0.04976988686134941,0.045901044511795046,0.0002614444049565743,78.65964076393529,74.35213279724121,700.8407666066055,1.4354947541889391,1.0899908065795898,1.3370738486289864
66,false,Continue,442.21520046047743,19,2.42017,0.6849220526845832,0.7325260353088379,0.050206568742765495,0.04976988686134941,0.045901044511795046,0.0002614444049565743,78.68924602709319,74.35213279724121,704.4274410788244,1.434178964715255,1.0899908065795898,1.3379304473631448
67,false,Continue,442.1838328616235,19,2.42017,0.68518521057932,0.7375260353088379,0.05045514312849216,0.04973732107187573,0.045901044511795046,0.00026184364787394405,78.71885129025108,74.35213279724121,706.2621226328847,1.4328631752415708,1.0899908065795898,1.3336308763509492
68,false,Continue,442.0915544360431,19,2.42017,0.6857115263687937,0.7425260353088379,0.05072805212505186,0.04970475528240204,0.045901044511795046,0.0002604227698592541,78.74845655340897,74.35213279724121,707.9474102339541,1.4328631752415708,1.0899908065795898,1.3336308763509492
69,false,Continue,442.02946046624385,18,2.42017,0.6847985331217447,0.7472347450256348,0.05370151103974979,0.04922321640253067,0.045591669511795045,0.0002710768825011456,80.25440239906311,74.63338279724121,711.2779115009239,1.348918538623386,0.979704761505127,1.263616053490144
70,false,Continue,442.015198754888,19,2.42017,0.686764157947741,0.7419434547424317,0.05078050478131258,0.049672189492928356,0.045901044511795046,0.0002598470155776502,78.89648286919845,74.35213279724121,713.5614571652208,1.4381263331363074,1.0899908065795898,1.3446177430649133
71,false,Continue,441.97544910511607,20,2.42017,0.6887832202911376,0.7320444297790528,0.04827126445857733,0.050045327774286275,0.05116041951179505,0.00024815273580543586,77.61810529232025,71.64368534088135,708.6905755799298,1.519663348197937,1.092204761505127,1.4068140846699677
72,false,Continue,441.95514034554026,19,2.42017,0.6865010000530042,0.7319434547424317,0.05084037795065946,0.04963962370345468,0.045901044511795046,0.0002584641988294075,78.92608813235634,74.35213279724121,715.4886551666496,1.4381263331363074,1.0899908065795898,1.3446177430649133
73,false,Continue,441.95161185697964,19,2.42017,0.6865010000530042,0.7319434547424317,0.05084037795065946,0.04960705791398099,0.045901044511795046,0.0002571216822456386,78.89648286919845,74.35213279724121,716.3028933784757,1.4381263331363074,1.0899908065795898,1.3446177430649133
